"統計名：","賃金構造基本統計調査"
"表番号："
"表題：","[令和２年以降] 一般_都道府県別_職種（特掲）DB"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","数字が得られないもの"
"-","計数のない場合"
"X","統計精度上の理由により計数を表章することが不適当な場合"

"","","","","","","","","","","","","/表章項目 コード","01","02","04","06","08","10","12","13","33","34","36","38","40","42","44","45"
"","","","","","","","","","","","","/表章項目 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"性別_基本 コード","性別_基本 補助コード","性別_基本","職種（小分類）（2020～） コード","職種（小分類）（2020～） 補助コード","職種（小分類）（2020～）","時間軸（2020～2023） コード","時間軸（2020～2023） 補助コード","時間軸（2020～2023）","地域 コード","地域 補助コード","地域","/表章項目","年齢【歳】","勤続年数【年】","所定内実労働時間数【時間】","超過実労働時間数【時間】","きまって支給する現金給与額【千円】","所定内給与額【千円】","年間賞与その他特別給与額【千円】","労働者数【十人】","年齢【歳】","勤続年数【年】","所定内実労働時間数【時間】","超過実労働時間数【時間】","きまって支給する現金給与額【千円】","所定内給与額【千円】","年間賞与その他特別給与額【千円】","労働者数【十人】"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","04000","","宮城県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","05000","","秋田県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","06000","","山形県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","07000","","福島県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","08000","","茨城県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","09000","","栃木県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","10000","","群馬県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","11000","","埼玉県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","12000","","千葉県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","13000","","東京都","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","14000","","神奈川県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","15000","","新潟県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","16000","","富山県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","17000","","石川県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","18000","","福井県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","19000","","山梨県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","20000","","長野県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","21000","","岐阜県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","22000","","静岡県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","23000","","愛知県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","24000","","三重県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","25000","","滋賀県","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"03","","女","1191","","幼稚園教員，保育教諭","2021000000","","2021年","26000","","京都府","","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
